Name,Nationality,Minutes,90s,keypasses,total_passes,acc_passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target
Alberto Noguera,FR,615,6.83,5.42,128.26,107.76,72.77,38.8,20.5,1.32,36.46,5.27,1.9,19.33,35.29,4.54,7.32,5.27,3.37,0.44
Vicente Gómez,FR,803,8.92,1.23,105.16,88.45,45.85,21.52,16.7,0.22,42.71,2.91,1.91,15.36,23.54,1.35,5.94,1.12,4.04,1.23
Javi Hernández,FR,425,4.72,2.54,41.1,28.39,19.49,9.75,12.71,0.42,12.08,2.33,2.54,12.71,29.66,3.81,5.72,1.91,4.03,1.27
Jacques Maghoma,FR,975,10.83,1.48,64.08,56.42,32.87,15.14,7.66,0.18,23.92,1.57,1.2,10.9,18.93,2.86,5.54,3.32,1.57,0.55
Aitor Monroy,FR,652,7.24,4.7,90.88,66.16,43.92,22.65,24.72,1.38,25.83,7.46,3.04,16.3,42.54,1.93,5.39,1.24,0.41,0
Federico Gallego,FR,506,5.62,8.01,79.36,54.27,40.93,25.27,25.09,2.49,17.08,2.67,0.53,13.35,43.95,3.2,5.16,2.85,5.16,1.42
Edu Bedia,FR,653,7.26,3.17,179.06,151.65,72.45,32.64,27.41,0.14,80.72,3.44,3.17,13.64,39.81,1.65,4.96,0.83,3.72,0.96
Edu Garcia,FR,357,3.97,4.03,77.83,56.93,40.81,19.4,20.91,0.25,18.64,2.27,1.01,10.83,38.29,2.27,4.53,2.77,3.78,1.26
Hugo Boumous,FR,608,6.76,4.14,92.31,75.59,46.6,28.25,16.72,0.74,30.03,1.63,0.89,10.95,28.99,3.11,4.14,4.44,3.25,1.18
Apuia,IND,846,9.4,0.74,71.38,60,24.79,9.57,11.38,0.11,35.32,5,3.09,10.64,16.17,1.49,3.72,1.17,1.28,0.43
Carl McHugh,FR,412,4.58,4.37,152.4,109.39,52.18,25.98,43.01,0.22,57.21,9.39,4.8,24.45,51.75,1.75,3.71,0.87,3.06,0.66
Jerry Mawihmingthanga,IND,1153,12.81,1.72,27.4,19.91,15.46,9.68,7.49,0.47,5.23,0.55,1.01,5.7,20.3,3.04,3.43,1.33,1.64,0.62
Ahmed Jahouh,FR,576,6.4,5,190.94,148.91,65.78,29.53,42.03,1.41,84.53,9.38,2.97,17.97,49.53,1.41,3.28,1.72,3.59,1.25
Cy Goddard,FR,829,9.21,3.37,43.76,37.46,26.06,14.77,6.3,0.33,13.46,1.74,0.87,7.06,20.52,1.63,3.26,2.06,0.98,0.33
Matti Steinmann,FR,793,8.81,1.36,81.38,66.63,35.41,13.96,14.76,0.23,31.21,3.18,2.5,12.03,21.68,2.27,3.06,2.61,1.7,0.68
Alex,FR,1072,11.91,1.51,46.35,36.44,23.68,12.59,9.91,0.08,13.1,3.53,1.6,9.49,16.46,2.1,2.85,1.85,1.43,0.08
Dimas Delgado,FR,817,9.08,2.2,76.21,62.56,33.48,14.54,13.66,0,31.39,1.65,0.33,5.62,19.71,1.32,2.75,0.77,0.99,0.33
Prabir Das,IND,434,4.82,2.07,50.21,30.91,18.67,9.13,19.29,0,13.28,2.28,2.28,8.92,37.76,1.24,2.7,2.07,2.49,0.83
Brandon Fernandes,IND,719,7.99,3.63,45.81,37.05,23.03,11.39,8.76,0.25,15.64,0.88,0.5,4.01,17.27,0.75,2.63,0.5,1.38,0.25
Pronay Halder,IND,475,5.28,1.89,58.52,42.99,24.43,12.69,15.53,0.19,18.75,1.52,1.7,7.77,18.75,1.33,2.46,0.95,1.14,0.19
Memo,FR,1015,11.28,0.8,74.11,56.56,22.7,7.89,17.55,0,33.87,3.81,2.39,10.02,20.66,0.8,2.39,0.89,1.86,0.27
Holicharan Narzary,IND,992,11.02,2.18,45.37,32.58,21.23,10.98,12.79,0,12.79,1.72,2.27,7.26,26.32,1.91,2.27,1.54,3.27,0.91
João Victor,FR,713,7.92,2.02,94.95,81.06,32.45,14.14,13.89,0.25,48.74,2.02,3.16,8.71,16.79,0.63,2.15,0.51,1.77,0.88
Rowllin Borges,IND,759,8.43,0.83,119.69,101.07,39.03,14.83,18.62,0.12,62.16,3.8,4.51,9.13,23.25,0.24,1.9,0.83,1.78,0.83
Anirudh Thapa,IND,888,9.87,1.22,38.7,29.89,16.62,8.51,8.81,0.2,14.08,1.11,2.63,3.75,13.88,0.61,1.82,0.2,1.62,0.41
Khassa Camara,FR,917,10.19,1.08,65.36,52.11,23.36,8.73,13.25,0.1,28.85,4.22,3.34,8.93,17.37,0.69,1.77,0.98,0.88,0.1
Lenny Rodrigues,IND,463,5.14,0.39,125.1,101.36,47.47,15.18,23.74,0,54.09,3.89,3.31,8.95,30.54,1.56,1.75,0.58,1.75,0.19
Lallianzuala Chhangte,IND,1048,11.64,2.15,40.81,31.36,21.91,11,9.45,0.77,11.34,2.15,1.37,7.04,25.09,2.84,1.55,2.41,3.44,1.46
Hitesh Sharma,IND,1488,16.53,0.36,31.22,25.11,13.31,6.05,6.11,0,11.92,1.15,0.67,3.69,9.92,1.27,1.45,0.48,0.24,0.06
Mohammad Yasir,IND,1432,15.91,1.19,18.04,12.95,10.12,5.78,5.09,0.25,3.65,0.88,0.38,3.65,13.01,1.76,1.45,1.19,1.38,0.19
Narayan Das,IND,1065,11.83,1.18,48.01,34.23,18.68,8.45,13.78,0.08,17.24,1.44,2.37,5.33,25.44,0.59,1.44,0.51,0.59,0.25
Cole Alexander,FR,781,8.68,0.92,69.93,51.96,29.84,14.17,17.97,0.12,22.58,4.26,4.03,8.87,21.66,0.58,1.38,0.92,1.15,0.46
Issac Vanmalsawma,IND,1532,17.02,0.71,15.33,11.34,7.17,3.7,4,0.18,5.05,0.82,0.29,2.47,9.05,0.65,1.29,0.06,0.41,0.06
Th. Bipin Singh,IND,714,7.93,3.53,45.15,34.93,25.98,14.75,10.21,0.38,12.61,2.14,0.88,5.42,23.58,1.51,1.26,1.64,3.28,1.01
Erik Paartalu,FR,976,10.84,0.92,75.83,57.29,24.08,9.69,18.54,0.09,33.21,1.48,3.14,8.03,21.22,0.74,1.2,0,2.31,1.11
Facundo Pereyra,FR,619,6.88,4.94,53.49,38.23,29.65,14.39,15.26,0.58,12.65,2.18,0.87,6.83,28.34,1.6,1.16,2.18,1.6,0.29
Suresh Wangjam Singh,IND,1513,16.81,0.77,29.03,23.56,12.08,5.12,5.47,0.06,11.72,1.25,1.07,3.51,10.35,1.55,1.07,0.83,0.95,0.12
Vinit Rai,IND,1130,12.56,1.35,40.84,29.7,19.35,8.84,11.15,0,11.78,2.79,1.59,5.25,14.89,0.56,1.04,0.32,0.48,0
Glan Martins,IND,1126,12.51,0.16,28.46,22.78,9.03,2.64,5.68,0,13.75,1.44,0.88,3.76,7.11,0.32,1.04,0.24,0.64,0.24
Princeton Rebello,IND,1065,11.83,1.1,34.32,29.25,14.2,6.09,5.07,0,15.13,1.52,0.76,4.65,7.19,0.76,1.01,0.76,0.59,0
Mohammed Rafique,IND,1622,18.02,0.22,11.15,8.55,5.6,3.16,2.61,0,3.11,0.33,0.55,2.33,6.33,1.05,1,0.5,0.72,0.11
Sahal Abdul Samad,IND,1015,11.28,2.3,23.76,18.09,13.48,6.47,5.67,0.27,5.85,2.3,0.8,5.85,13.92,1.33,0.98,2.22,2.57,0.27
Lluis Sastre,FR,753,8.37,2.39,54,47.67,23.78,7.65,6.33,0.24,26.05,1.31,0.96,3.35,11.71,0.48,0.84,0,0.6,0.12
Rahul Kannoly,IND,1442,16.02,0.5,15.04,9.3,6.18,3.93,5.74,0,3.43,2.37,1,5.43,11.8,1.5,0.81,0.81,1.94,0.75
Fatkhullo Fatkhulloev,FR,1146,12.73,0.94,16.03,12.8,9.82,6.21,3.22,0.16,3.85,0.55,0.31,2.44,8.17,0.31,0.71,0.63,0.94,0.31
Nandhakumar Sekar,IND,1191,13.23,0.23,12.77,8.62,5.97,3.4,4.16,0,2.95,0.53,0.68,2.27,8.16,0.6,0.68,0.6,0.91,0.3
Deepak Tangri,IND,1479,16.43,0.12,24.22,17.95,5.78,1.7,6.27,0,12.29,1.46,1.58,4.5,7.36,0.06,0.67,0.18,0.24,0.06
Jackichand Singh,IND,1515,16.83,0.65,13.84,9.33,6.54,4.1,4.52,0.06,3.03,0.36,0.48,1.54,9.39,0.53,0.65,0.36,0.95,0.48
Jeakson Thounaojam,IND,1397,15.52,0.32,27.77,21.65,9.21,3.99,6.12,0,12.44,0.97,1.55,3.22,7.09,0,0.64,0.58,0.52,0.06
Raynier Fernandes,IND,1578,17.53,0.46,34.06,29.26,15.92,7.82,4.79,0.06,13.52,0.97,0.63,2.74,8.04,0.68,0.63,0.91,0.51,0
Ankit Mukherjee,IND,1561,17.34,0.12,17.42,11.42,6.29,2.48,6,0,5.71,1.21,0.98,3.11,11.25,0.52,0.63,0.35,0.17,0.12
Singh Surchandra,IND,1480,16.44,0.3,16.42,12.47,6.45,2.8,3.95,0.12,6.2,0.97,0.67,2.62,7.97,0.43,0.61,0.43,0.12,0.06
Bradden Inman,FR,1072,11.91,1.26,16.29,13.69,9.15,4.62,2.6,0.08,5.37,0.34,0.34,1.6,5.37,0.59,0.59,0.42,0.84,0.34
Jayesh Rane,IND,480,5.33,0.75,28.33,21.01,12.76,6.57,7.32,0,8.26,2.25,0.75,3.56,12.01,0.75,0.56,0.56,1.13,0.19
Prasanth Karuthadathkuni,IND,1670,18.56,0.27,10.51,8.62,5.06,3.07,1.89,0,3.72,0.48,0.27,1.51,5.01,0.27,0.54,0.22,0.27,0.05
Wahengbam Angousana Luwang,IND,1616,17.96,0.22,13.81,12.03,6.46,2.17,1.78,0,5.57,0.22,0.56,1,2.34,0,0.5,0,0.22,0
Rohit Kumar,IND,1513,16.81,0.12,13.15,10.95,5.59,2.08,2.2,0.06,5.47,0.36,0.42,1.55,3.39,0.42,0.48,0.3,0.42,0.12
Seminlen Doungel,IND,1334,14.82,0.61,12.89,8.37,6.34,3.64,4.52,0.2,2.5,1.55,0.34,4.52,9.99,0.94,0.47,0.81,1.08,0.4
Alexander Romario Jesuraj,IND,1543,17.14,0.93,17.5,13.19,9.68,4.84,4.32,0.06,4.08,1.05,0.76,1.87,8.93,0.88,0.35,0.23,0.76,0.18
Rochharzela,IND,1586,17.62,0.4,4.37,2.78,1.7,0.96,1.59,0.17,1.19,0.51,0.17,1.19,3.69,0.62,0.34,0.28,0.51,0.06
Mehtab Singh,IND,1426,15.84,0.06,16.48,14.71,3.16,0.95,1.77,0,11.55,0.06,0.88,0.95,1.89,0,0.32,0,0.19,0.13
Singh Khangembam Thoi,IND,1706,18.96,0.32,4.59,2.48,2.06,1.05,2.11,0,0.63,0.53,0.11,1.05,4.06,0.16,0.32,0,0.16,0
Seityasen Singh,IND,1503,16.7,0.6,7.43,6.11,3.11,1.68,1.32,0.06,3.35,0.36,0.36,0.78,3.65,0.18,0.24,0.12,0.36,0.06
Edwin Sydney Vanspaul,IND,1245,13.83,0.72,19.88,16.12,9.91,5.06,3.76,0.07,6.72,0.87,1.08,1.88,6.58,0.72,0.22,0.29,0.87,0.29
Mobashir Rahman,IND,1352,15.02,0.4,22.1,15.65,9.92,5.19,6.46,0.2,5.93,1.13,0.73,2.2,9.65,0.47,0.2,0.2,1.13,0.27
Germanpreet Singh,IND,1788,19.87,0.2,8.91,6.89,3.93,2.06,2.01,0,2.97,0.4,0.25,0.7,3.57,0.3,0.2,0.1,0.25,0.05
